藍方勝,守衛放置數,守衛破壞數,首殺,擊殺數,死亡數,助攻數,菁英野怪數,小龍擊殺數,預示者擊殺數,推塔數,總經濟,平均等級,總經驗,總小兵擊殺,總野怪擊殺
1,4,3,-1,3,-3,3,0,0,0,0,1756,0.6,1920,35,-2
1,-37,-2,-1,2,-2,0,2,1,1,0,1064,0.6,2471,-4,20
1,-3,1,1,2,-2,0,1,1,0,0,1713,0.8,2145,46,0
0,-5,3,-1,0,0,4,-2,-1,-1,0,-1137,-0.2,-1402,-34,-9
1,2,-1,-1,4,-4,5,1,1,0,0,2294,0.4,1383,18,-19
0,-3,1,-1,-6,6,-7,-1,-1,0,0,-4115,-0.6,-2985,-63,6
1,-35,0,-1,5,-5,8,0,0,0,0,2520,0.2,2092,19,0
1,-2,2,-1,-3,3,-6,1,1,0,0,93,0,1195,13,19
1,3,-3,1,2,-2,0,1,1,0,0,1744,0.4,1187,-7,19
1,-5,-1,-1,-3,3,-1,1,1,0,0,-315,0,-7,4,8
0,-25,-1,-1,-1,1,-1,-2,-1,-1,0,-1335,0,-172,9,-8
0,-5,1,1,0,0,-2,-1,-1,0,0,-648,0,728,-8,7
0,36,0,1,-6,6,-11,0,0,0,0,-3854,-0.4,-1813,-40,-9
1,151,2,1,3,-3,-1,1,1,0,1,2585,0.4,1759,60,-22
1,-3,3,1,5,-5,8,1,1,0,0,2247,0.4,1668,-1,10
0,4,-1,-1,-5,5,-6,0,0,0,0,-977,0.2,143,31,6
1,-31,-2,1,3,-3,1,0,0,0,0,2970,0.2,2037,21,24
1,-254,1,1,5,-5,7,0,1,-1,-1,250,-0.2,287,-15,-5
0,3,4,1,0,0,-9,0,0,0,0,-1276,-0.2,-648,-4,-1
1,-2,0,1,0,0,2,-1,-1,0,0,1482,-0.2,1055,51,-3
0,6,-2,-1,2,-2,1,-1,-1,0,0,428,0,687,-4,13
0,-3,6,1,1,-1,1,0,0,0,0,-1706,-0.2,-1027,-54,-16
1,2,0,-1,3,-3,5,2,1,1,0,1014,0.4,950,-4,-11
1,-23,6,-1,-4,4,-6,-1,-1,0,0,250,0.4,942,40,1
1,-3,3,-1,-1,1,-6,0,-1,1,0,166,0,395,42,12
0,-70,1,-1,-2,2,-3,0,0,0,0,-465,-0.4,-436,19,5
1,2,2,-1,2,-2,-3,1,1,0,0,-733,0,-541,-17,7
0,26,1,-1,-2,2,2,-1,-1,0,0,-1013,0.2,-36,-48,6
1,-3,2,-1,0,0,0,2,1,1,2,3773,0.4,1957,69,12
0,-52,-1,-1,1,-1,0,-1,-1,0,0,1060,0.6,1554,-4,19
1,-14,1,1,3,-3,0,1,1,0,0,2169,0.6,2453,6,28
1,-2,6,-1,2,-2,3,1,1,0,0,1019,0.4,708,7,9
1,-24,0,1,4,-4,6,2,1,1,0,2684,0.2,1191,15,22
1,1,3,1,2,-2,-1,-2,-1,-1,0,1362,-0.2,699,18,-12
1,44,1,1,-1,1,-2,1,0,1,0,915,0,1710,19,29
0,41,2,-1,5,-5,12,0,-1,1,0,1931,0.4,1200,-6,-14
1,-23,0,1,9,-9,8,-1,-1,0,0,3655,0.8,2743,23,-11
0,11,-4,1,2,-2,4,-1,-1,0,0,805,-0.2,149,-51,8
1,-46,1,-1,2,-2,3,-1,-1,0,0,478,0,-124,13,-43
1,23,0,1,2,-2,3,0,1,-1,0,1698,0.2,2237,37,-2
1,3,-1,1,-1,1,-2,-1,-1,0,0,-330,-0.2,-466,-22,6
1,8,-1,1,1,-1,3,0,-1,1,0,592,-0.2,242,6,-24
0,0,-1,1,-3,3,-1,-1,-1,0,0,-1765,-0.2,-2344,-24,-25
0,1,1,1,-1,1,-2,-1,-1,0,0,-92,0,-244,20,-13
0,52,1,1,-6,6,-8,1,1,0,0,-2947,-0.4,-2189,-31,11
1,2,1,1,4,-4,0,1,1,0,0,1982,0,990,18,-8
1,-37,1,-1,3,-3,-1,1,0,1,0,2330,0.6,2319,40,24
1,-2,2,-1,0,0,1,1,1,0,0,-105,0,1086,-41,11
1,-5,1,-1,-4,4,-6,2,1,1,0,-1215,0,-756,-23,31
0,4,-2,-1,0,0,-1,1,1,0,0,-951,-0.4,-1116,-30,-11
1,-1,-2,1,2,-2,5,2,1,1,0,134,-0.2,-144,-18,-4
1,91,5,1,1,-1,3,0,0,0,0,361,0,-672,15,-17
1,4,0,-1,1,-1,-5,1,1,0,0,905,0.4,1369,29,4
0,0,-4,1,3,-3,-1,-1,-1,0,0,348,-0.4,-1004,-6,-22
0,0,-1,1,-2,2,-4,-2,-1,-1,0,-424,0.2,-630,-11,16
1,-22,3,1,6,-6,11,0,1,-1,0,3058,0.4,1325,-10,-15
0,-2,-3,1,-1,1,2,0,1,-1,0,-105,0,-1401,9,-2
0,-1,-2,-1,-5,5,-1,-1,-1,0,0,-1876,-0.6,-2659,-6,-25
0,-2,0,-1,-2,2,-2,1,1,0,0,-1031,-0.4,-760,4,-4
0,17,-4,1,3,-3,2,0,0,0,0,125,0.4,2058,-17,5
1,5,-4,1,-3,3,-4,0,-1,1,1,-669,-0.2,-502,15,15
1,37,1,-1,5,-5,12,1,1,0,1,1436,-0.4,-1544,-34,-26
0,10,-1,1,-2,2,1,0,1,-1,0,-78,-0.4,-155,-2,19
1,-75,-1,1,-1,1,1,0,-1,1,0,-713,0.2,103,-8,19
0,-5,-2,-1,-3,3,-5,-1,-1,0,0,-1975,0,-1115,-9,11
1,4,2,1,6,-6,7,-1,-1,0,0,1411,0,766,5,-21
1,33,1,1,1,-1,1,1,1,0,0,661,0.4,139,-15,9
0,0,-1,-1,-1,1,2,-1,0,-1,0,-394,-0.2,-1635,-11,-24
0,36,-5,1,0,0,-2,0,0,0,0,-557,0,-832,-39,-4
1,4,-1,-1,3,-3,3,-1,-1,0,0,1204,0.6,2004,-7,16
0,23,-2,1,-1,1,2,0,0,0,0,-1966,-0.8,-3189,-38,-11
1,48,-15,-1,-3,3,0,1,1,0,0,-1090,0,-1499,5,-5
0,-3,0,1,1,-1,4,0,-1,1,0,-1152,-0.6,-2193,-42,-12
0,13,-2,-1,-4,4,-4,0,-1,1,0,-1682,0,-71,-24,2
1,1,3,1,5,-5,7,0,1,-1,0,1847,-0.2,1084,10,1
0,78,1,1,1,-1,9,-1,-1,0,0,808,0,-236,-23,-5
1,2,-5,-1,-3,3,-7,1,1,0,0,-1332,-0.6,-2004,-18,12
0,-2,0,-1,-9,9,-7,-1,0,-1,0,-3966,-0.4,-2999,-7,-7
0,19,-1,-1,3,-3,3,0,-1,1,1,1377,0.2,795,-18,-1
1,6,-2,1,4,-4,6,0,1,-1,-1,1493,0.4,1167,35,-4
0,8,0,-1,-3,3,-4,-1,0,-1,0,-2876,-0.4,-2715,-3,-54
0,23,-1,-1,1,-1,3,1,1,0,0,1340,-0.2,-207,-36,7
0,-19,-1,-1,-3,3,-3,-1,-1,0,0,-1208,-0.4,-614,-19,4
1,1,1,-1,0,0,1,-1,-1,0,0,218,0,1085,9,0
1,-1,1,1,12,-12,9,1,1,0,1,6907,1,4512,80,2
1,-1,0,-1,-1,1,0,-2,-1,-1,0,-594,-0.2,-353,-18,0
0,0,-3,-1,1,-1,8,2,1,1,0,-1464,-0.2,-454,-34,-1
1,-13,2,-1,1,-1,3,0,0,0,0,554,0,-702,26,-25
1,1,-5,1,5,-5,4,0,-1,1,0,1256,0,-295,-42,-16
1,27,-2,1,8,-8,11,1,1,0,0,4373,1,4286,19,12
1,10,0,1,1,-1,0,-1,-1,0,0,-245,-0.4,-278,-26,0
0,-1,0,1,0,0,-2,0,-1,1,1,393,0,-215,-17,-14
1,-8,1,1,5,-5,4,-1,-1,0,0,2822,0.4,2207,29,-9
0,-7,-2,-1,-9,9,-16,-1,-1,0,0,-5025,-0.8,-2610,-18,-6
1,-11,-1,-1,-1,1,1,-1,-1,0,0,-371,-0.2,-172,-6,-21
1,3,3,1,4,-4,5,2,1,1,1,3999,0.4,2223,38,14
0,7,0,-1,-7,7,-12,-1,-1,0,0,-4157,-0.4,-1724,-35,14
0,20,-1,-1,-7,7,-12,-1,-1,0,0,-5298,-1.4,-4670,-73,4
0,-2,1,-1,-1,1,3,0,0,0,0,-28,0,-63,-8,10
1,34,0,-1,2,-2,8,1,1,0,0,462,0.4,579,6,1
0,-1,1,-1,2,-2,2,-1,-1,0,0,-81,0.2,-1,11,-13
1,-1,2,1,2,-2,6,2,1,1,0,752,0.2,344,-29,-13
0,-3,0,-1,-4,4,-7,-1,-1,0,0,-1555,-0.2,-357,7,-17
1,-5,0,-1,3,-3,5,-2,-1,-1,0,1188,0.4,2039,-10,0
1,-3,-1,1,4,-4,7,0,-1,1,0,1639,0.2,-213,-24,-12
1,-15,1,-1,2,-2,2,0,0,0,0,1552,0.4,1488,13,-1
0,-42,2,-1,-1,1,-1,-1,-1,0,0,41,0,-936,27,-28
1,-25,1,1,3,-3,3,1,1,0,0,-259,-0.4,-1115,-41,1
0,-17,-1,1,0,0,1,-1,-1,0,0,367,-0.2,-1025,-21,-11
1,0,-3,-1,4,-4,3,2,1,1,2,2941,0.6,1850,27,1
1,-3,-1,1,3,-3,2,1,1,0,0,1142,0,283,-31,11
1,2,-4,1,4,-4,7,-1,-1,0,0,4051,0.4,1394,18,-1
1,-33,0,-1,-4,4,-7,-1,0,-1,0,-2419,-0.4,-1437,-53,8
1,-1,3,1,2,-2,3,2,1,1,0,1624,0.2,1008,-17,32
0,18,-2,-1,-5,5,-3,1,1,0,0,-2254,-0.2,-379,0,-8
1,-3,2,1,4,-4,4,1,0,1,0,834,0.6,1853,-44,18
1,6,-2,1,3,-3,3,0,0,0,0,2150,0.2,1104,23,-15
1,-1,1,-1,-4,4,-4,0,-1,1,0,-1624,-0.8,-2019,15,-19
1,-8,-2,1,1,-1,4,0,-1,1,-1,-2072,0.2,412,-101,21
0,-26,-3,-1,-5,5,-7,1,0,1,0,-2089,0.2,537,-5,19
1,-6,3,-1,-1,1,-3,-1,-1,0,0,542,0.4,1212,36,-14
0,-20,-1,-1,-1,1,-3,1,0,1,0,-226,0.2,-221,5,-5
1,-4,1,1,2,-2,3,2,1,1,0,316,0.4,10,4,12
0,-28,1,1,-3,3,-1,-1,-1,0,0,-821,-0.2,-2540,-11,-31
1,22,1,1,7,-7,12,1,1,0,0,4294,1.2,4438,-18,24
0,-1,3,-1,-6,6,-7,-1,0,-1,-1,-4891,-0.2,-2335,-72,24
1,5,2,-1,5,-5,-2,1,1,0,0,3432,0.4,2317,51,-1
1,-9,-2,1,-1,1,-4,1,1,0,0,-563,-0.2,-812,-10,14
1,-8,-1,-1,0,0,2,-1,-1,0,0,60,-0.4,-341,-15,-15
0,6,-2,1,6,-6,9,-1,-1,0,0,2761,0,680,6,-1
1,-3,2,1,0,0,3,2,1,1,0,1542,0.2,2179,17,28
0,22,0,-1,2,-2,3,1,0,1,1,2323,0.4,2120,11,4
0,0,1,1,1,-1,1,0,1,-1,0,-1143,0,-859,-53,9
1,3,0,-1,-1,1,-1,-1,-1,0,0,-665,0,-571,-36,-3
0,0,4,-1,-5,5,-3,0,-1,1,0,-2520,-0.4,-1932,-15,-4
1,123,0,-1,0,0,2,-2,-1,-1,0,708,0.2,1208,22,-3
1,5,-1,-1,1,-1,2,1,1,0,0,410,0.2,720,8,0
1,-5,1,-1,-5,5,-5,-1,-1,0,0,-4578,-1,-3673,-58,-47
0,0,-4,-1,2,-2,0,-1,-1,0,0,1079,0.2,1586,-4,32
0,-7,-1,-1,-9,9,-14,-1,-1,0,0,-4024,-0.4,-2373,7,9
0,17,3,1,-2,2,-4,-1,-1,0,0,44,0.2,170,-35,28
1,-2,1,1,-2,2,-5,0,-1,1,0,-560,-0.4,-46,-7,12
0,-10,-1,-1,-4,4,-9,0,-1,1,0,-1343,-0.2,-591,16,15
0,8,0,-1,0,0,3,1,1,0,0,60,-0.2,323,-18,-9
0,30,0,-1,-3,3,2,0,0,0,0,-1501,-0.4,-1478,-12,-3
0,24,3,1,2,-2,1,0,0,0,0,1331,-0.2,1287,24,-12
0,-1,1,-1,-8,8,-12,0,1,-1,-2,-4864,-0.6,-2818,-5,7
1,-18,0,1,6,-6,3,2,1,1,0,3821,0.4,4288,29,20
1,-1,-2,-1,-1,1,-4,-1,-1,0,0,-1477,-0.2,-1018,-53,-7
1,1,1,1,1,-1,1,0,0,0,0,446,0.2,263,-13,7
1,0,-2,1,7,-7,8,1,1,0,0,3504,0.2,995,5,4
0,-5,1,-1,2,-2,3,0,-1,1,0,2046,0,584,45,-5
0,0,-1,1,1,-1,-2,-2,-1,-1,0,-541,-0.4,-1094,-27,-20
0,-4,-2,-1,-5,5,-5,-1,-1,0,0,-3132,0,-1630,-26,10
0,-3,3,-1,-11,11,-13,-1,-1,0,-1,-8472,-2.2,-8242,-37,-60
0,-9,1,-1,-1,1,-2,-1,-1,0,0,-687,-0.4,-372,-29,20
1,62,3,1,5,-5,4,1,1,0,0,3129,0.4,2922,8,1
0,-2,-3,-1,-2,2,-2,0,-1,1,0,-2539,-0.2,-943,-1,0
0,-5,2,1,-1,1,-2,-1,-1,0,0,-2167,-0.6,-2507,-44,-21
1,0,-2,-1,3,-3,4,-1,-1,0,0,910,0.2,1269,21,-21
0,2,1,-1,0,0,0,0,-1,1,0,-521,-0.6,-1275,-23,7
0,-2,-3,1,1,-1,1,-1,-1,0,0,523,-0.2,-1060,-29,-13
1,-1,-2,-1,-1,1,-1,-2,-1,-1,0,-341,-0.2,-1982,17,-9
0,2,1,1,0,0,7,-1,-1,0,0,247,-0.2,-775,2,-12
0,0,2,1,-4,4,-1,0,-1,1,0,-2236,-0.4,-2070,-29,4
1,-1,2,1,6,-6,4,-1,-1,0,0,3297,0.6,2983,22,12
0,-1,-3,-1,-1,1,-3,-1,-1,0,0,-682,-0.2,-89,-24,0
0,4,0,-1,5,-5,5,1,0,1,0,1923,0.4,437,-11,7
1,0,-1,-1,4,-4,2,2,1,1,0,1738,0.4,2447,8,7
0,16,-1,-1,-5,5,0,0,1,-1,0,-3451,-0.6,-2220,-27,-9
0,-75,4,1,4,-4,4,-2,-1,-1,0,2251,0,-284,-13,-7
0,0,-1,1,-3,3,-7,-2,-1,-1,0,-884,0.4,963,8,19
0,-3,0,-1,1,-1,5,1,1,0,0,864,0.2,898,-23,11
1,0,1,1,2,-2,1,0,1,-1,1,1830,-0.2,-1232,1,-8
1,42,1,1,7,-7,12,1,1,0,0,3913,1,2948,1,-8
1,0,-2,1,-1,1,-4,2,1,1,0,-2675,-0.4,-1325,-82,5
0,-2,1,1,-4,4,-3,2,1,1,0,-1430,0,147,-11,-3
0,5,-2,1,0,0,6,2,1,1,0,226,0,221,31,-6
1,1,-1,1,6,-6,7,2,1,1,1,4324,0.4,1705,18,-7
0,-21,0,-1,0,0,4,0,0,0,0,-355,0.2,279,3,-4
0,15,17,-1,-5,5,-3,-2,-1,-1,0,-4529,-1.2,-4665,-72,-25
0,-4,1,1,-7,7,-10,1,1,0,0,-4663,-0.8,-3624,-52,6
0,-22,-1,1,0,0,5,1,1,0,0,-211,-0.4,-1817,-3,-18
1,20,6,1,1,-1,1,0,1,-1,0,38,0.2,1241,-7,7
0,2,1,-1,2,-2,2,0,-1,1,1,3315,0.2,904,48,10
0,-2,1,1,2,-2,2,-1,-1,0,0,1211,-0.2,-757,-9,-21
0,44,-3,-1,1,-1,0,-1,-1,0,0,-188,-0.2,270,-18,-20
1,-5,1,1,2,-2,-1,0,0,0,0,1852,0.6,2113,20,12
0,-6,2,1,4,-4,5,0,1,-1,1,3059,0.6,1408,25,-12
0,3,2,-1,-3,3,-5,-2,-1,-1,0,-2552,-0.6,-2268,-7,-18
0,32,3,1,-2,2,3,-1,-1,0,0,-1566,-0.2,-1852,-36,-9
0,-4,3,1,-3,3,-5,0,0,0,0,-2967,-0.2,-758,-36,-3
1,-27,5,-1,-2,2,-3,0,-1,1,0,-98,-0.2,-169,16,4
0,0,0,-1,-2,2,-2,0,0,0,0,-1972,-0.6,-1177,-13,-26
1,1,0,1,2,-2,8,1,1,0,0,557,-0.6,-1383,-3,-14
0,-55,0,1,5,-5,9,1,0,1,0,1217,0.2,309,-10,0
1,-5,2,-1,-1,1,1,-1,-1,0,0,-27,0,394,20,16
1,-7,0,1,1,-1,-3,0,-1,1,0,865,0.4,2685,25,11
0,0,-1,-1,-3,3,-3,-1,-1,0,0,-1653,-0.2,-1289,-23,-4
0,1,2,-1,2,-2,0,1,1,0,0,1932,0.4,2097,73,14
0,-2,-2,1,-4,4,-9,0,0,0,0,-3386,0,-2729,-28,9
0,-1,-2,-1,-9,9,-7,-1,-1,0,0,-5097,-0.8,-3482,-65,-4
0,39,0,1,4,-4,6,2,1,1,0,1321,0.2,1735,-30,11
0,-8,-1,1,0,0,1,1,1,0,0,-276,-0.2,-1424,13,-9
0,2,-1,1,2,-2,4,1,0,1,0,-19,0,-1122,-44,-15
1,3,-1,1,4,-4,3,0,0,0,0,2590,0.2,1850,38,-15
0,-9,1,1,2,-2,-2,-1,-1,0,0,510,0,-601,-4,-3
0,0,0,-1,2,-2,4,-1,0,-1,0,103,0,412,-48,10
1,-7,0,1,-1,1,-3,-1,-1,0,0,-237,-0.2,-500,29,-12
1,-6,2,-1,3,-3,0,-2,-1,-1,-1,-612,0,549,1,-11
0,3,3,1,7,-7,5,0,-1,1,0,4488,0.8,3191,54,-7
0,2,1,-1,3,-3,1,-1,-1,0,0,335,0,675,17,-16
0,8,-1,-1,-1,1,0,0,1,-1,0,-814,0.2,-418,-4,-4
1,2,-1,1,1,-1,-2,1,1,0,0,-39,0.4,464,35,-6
1,-47,3,1,-1,1,-5,-1,-1,0,0,80,-0.4,-609,39,0
0,-1,0,-1,-6,6,-9,2,1,1,0,-1975,0,-888,3,33
0,-25,3,1,2,-2,2,-2,-1,-1,0,1723,0.2,970,30,0
0,4,-2,1,-4,4,-9,0,1,-1,-2,-5763,-1.6,-4731,-48,-4
0,-22,11,-1,-10,10,-10,0,0,0,0,-6050,-1,-4081,-66,-7
0,23,1,1,0,0,0,1,1,0,0,1152,-0.2,-29,33,0
1,-1,1,1,5,-5,8,1,0,1,0,3822,1,2980,-15,40
0,-25,1,-1,-4,4,-6,1,1,0,0,-2975,-0.4,-2024,-39,1
1,24,0,1,7,-7,11,1,1,0,0,1526,0.2,472,24,-16
1,1,3,1,8,-8,9,1,1,0,0,3916,0.4,2599,38,0
1,-1,0,1,5,-5,1,2,1,1,3,8776,2,8348,100,50
0,1,0,-1,-2,2,-6,-2,-1,-1,-1,-4493,-1,-3830,-5,-64
1,1,3,1,1,-1,1,0,1,-1,0,1018,-0.2,-1023,10,-9
1,-2,-1,1,-1,1,1,-1,-1,0,0,-97,0.2,165,2,-1
0,25,-2,-1,-2,2,-2,-1,0,-1,0,-933,0,-636,-30,20
0,1,1,-1,-2,2,2,-1,0,-1,-1,-4322,0,-1588,-38,-23
1,8,-3,-1,3,-3,5,0,0,0,0,1350,0.2,524,-31,-16
0,15,-1,-1,-8,8,-8,-1,-1,0,-1,-5490,-0.6,-2476,-31,-1
0,8,-4,-1,0,0,-1,1,1,0,0,-730,-0.2,58,23,-14
1,-11,0,1,0,0,-2,-1,-1,0,0,-631,-0.2,337,-19,-12
0,19,-2,1,1,-1,1,0,-1,1,0,-183,0.4,254,1,-10
0,1,-2,1,-4,4,-8,0,-1,1,0,-2250,-0.4,-1591,2,4
0,-24,2,1,2,-2,3,1,1,0,0,493,-0.4,-699,-1,12
0,2,3,1,0,0,1,-1,-1,0,0,-211,-0.2,-626,8,-19
1,-22,-5,-1,-3,3,-7,0,0,0,0,-1611,-0.2,97,-19,5
0,-5,-1,-1,-2,2,-2,-1,-1,0,0,-1343,-0.2,-768,-1,8
1,-32,2,1,9,-9,11,2,1,1,1,5512,0.8,3244,60,3
0,-2,3,-1,-6,6,-1,-1,-1,0,0,-3590,-0.4,-1683,-30,-5
1,3,2,1,0,0,4,1,0,1,0,-406,-0.8,-1748,-25,-6
0,2,-3,1,-6,6,-12,-1,-1,0,0,-2150,-0.2,-1215,34,-10
0,4,-3,-1,-4,4,-1,1,1,0,0,-679,-0.2,-1331,-2,2
1,-7,1,-1,-8,8,-4,1,0,1,0,-3114,-0.6,-2569,-20,4
1,22,-1,-1,1,-1,3,-1,-1,0,0,1564,0.2,668,40,20
0,33,1,-1,-4,4,-5,1,1,0,-1,-4205,-0.6,-1540,-44,9
1,32,1,1,10,-10,12,0,0,0,0,4172,0.4,1918,-29,15
1,2,-3,1,-4,4,-14,1,1,0,0,-2672,-1,-2811,12,-21
1,-2,1,1,8,-8,4,1,1,0,0,4287,0.8,3938,89,24
0,-1,1,1,4,-4,6,1,1,0,0,811,0.2,881,-14,-11
1,-5,-1,1,1,-1,1,0,1,-1,0,-585,-0.4,-809,-64,-5
0,-6,1,-1,-1,1,-5,0,-1,1,0,-1042,-0.4,-2030,2,-40
0,-5,4,-1,1,-1,1,-1,-1,0,0,163,0.2,1490,-2,8
0,26,0,1,4,-4,4,1,1,0,0,1697,0.6,1110,-5,-8
0,-109,1,1,3,-3,10,0,1,-1,0,1059,0.2,180,-9,2
0,3,1,1,0,0,-2,0,-1,1,0,1498,0.2,149,23,11
1,-2,1,-1,0,0,0,-1,-1,0,0,457,0.2,692,2,-8
1,0,3,-1,7,-7,13,1,1,0,0,4620,0.8,2871,83,-5
1,-6,2,1,1,-1,2,1,1,0,0,1117,0,-637,37,-1
1,5,0,1,-1,1,-7,-1,-1,0,0,929,-0.2,1352,40,24
0,-27,10,-1,1,-1,6,2,1,1,0,459,0,1309,9,5
0,11,1,-1,-5,5,-4,-1,-1,0,0,-2537,-0.2,-1603,22,-17
0,-38,0,1,-10,10,-16,-1,-1,0,0,-4882,-1.2,-4505,-7,-37
0,0,1,-1,0,0,-1,-1,0,-1,0,1014,0.2,688,27,-7
1,0,-1,-1,6,-6,2,0,0,0,0,3039,0.4,2255,14,11
1,84,-1,1,3,-3,10,2,1,1,0,650,0.2,511,3,-22
1,7,0,1,-3,3,-2,0,-1,1,0,-905,-0.2,-709,4,-5
1,2,-5,-1,2,-2,0,-1,-1,0,0,966,0,969,31,-7
0,12,-2,1,-2,2,-1,1,0,1,1,-429,-0.6,-1821,-56,-3
1,30,-17,1,2,-2,-1,2,1,1,0,1211,-0.2,355,18,2
0,-1,2,1,1,-1,1,1,1,0,0,53,0.2,-114,20,-13
0,22,-1,1,4,-4,5,1,1,0,0,649,0.2,-103,1,-5
0,6,-5,-1,-2,2,-4,-1,-1,0,1,-135,-0.4,-1288,17,-15
1,-20,-1,1,1,-1,1,0,1,-1,0,1137,0,-609,-1,-4
1,2,-2,1,8,-8,9,1,1,0,0,3951,0.4,2490,35,-4
0,-4,1,-1,-1,1,0,-1,-1,0,0,-859,-0.6,-2114,-25,-14
0,1,-2,-1,-4,4,-6,-1,-1,0,0,-962,0.4,612,6,16
1,35,0,1,7,-7,12,0,0,0,0,2554,0.4,1453,-21,1
0,-1,1,1,1,-1,4,-1,-1,0,0,1158,-0.4,-618,55,-36
0,-40,3,-1,-3,3,-3,0,1,-1,0,-2963,-0.6,-1630,-18,-12
0,5,-2,-1,-3,3,0,-1,0,-1,-1,-1894,-0.8,-2184,10,-4
0,-6,2,-1,-3,3,-7,-1,-1,0,0,-1535,0,-716,15,-8
1,4,-2,-1,4,-4,6,0,0,0,0,1654,0.4,1097,-1,2
0,-3,0,-1,-3,3,-5,2,1,1,0,-516,0.2,266,24,13
1,-4,3,1,2,-2,4,0,-1,1,0,2577,0.4,2592,25,22
0,-3,-1,1,0,0,3,-1,0,-1,0,-402,-0.2,-520,-14,8
0,0,3,-1,-5,5,-4,-1,-1,0,0,-4404,-0.4,-3165,-73,12
0,23,1,-1,-3,3,-6,1,0,1,0,-2922,-0.2,-1424,-3,-29
1,-1,-1,1,-3,3,-2,1,1,0,0,-659,0,-701,-20,0
0,0,1,1,5,-5,12,0,0,0,0,1924,0.4,1938,-11,-5
0,38,-9,-1,-3,3,-3,-2,-1,-1,0,-2075,0,-738,-29,15
0,4,-5,1,-2,2,-6,0,0,0,0,-1055,-0.4,-1236,13,-14
1,4,-1,1,7,-7,7,1,0,1,0,3239,0.4,2494,20,-3
0,-5,1,-1,-5,5,-6,0,-1,1,0,-2765,-0.4,-2677,-38,7
0,-2,1,-1,-1,1,-4,-1,-1,0,0,-1183,-0.4,-1425,-13,-13
0,-1,-1,1,0,0,-7,-1,-1,0,0,-1012,-0.2,-1528,-41,-4
1,-2,0,1,3,-3,5,1,1,0,0,3245,0,307,50,8
0,1,1,1,2,-2,6,-1,-1,0,0,-157,0,-269,-45,-8
1,25,-1,1,3,-3,6,1,1,0,0,2862,0.6,1862,42,5
1,2,2,1,3,-3,3,1,1,0,0,789,0,-1212,-4,-25
0,3,-1,-1,0,0,-1,-1,-1,0,0,-986,-0.2,-484,-27,-14
1,2,-1,-1,-3,3,2,1,1,0,0,-812,-0.2,-202,-15,10
0,2,-2,1,-3,3,-8,-1,-1,0,0,-3196,-0.8,-3217,-21,-19
1,3,0,1,1,-1,-4,1,1,0,0,738,0.4,1289,19,28
1,2,-1,1,0,0,1,0,0,0,0,1144,0.2,464,52,-16
1,-7,3,-1,3,-3,3,0,1,-1,0,246,0,759,-25,-12
0,26,-1,-1,0,0,0,-1,-1,0,0,-919,-0.2,-483,-8,-24
1,2,-1,1,1,-1,-3,2,1,1,0,805,0.2,691,24,4
0,25,1,-1,-3,3,-6,-1,-1,0,0,-1656,0.2,-453,-36,13
0,19,-4,1,2,-2,-6,-1,-1,0,0,1153,0,930,30,-2
1,-4,-1,1,1,-1,-1,-1,-1,0,0,740,-0.4,-692,-6,2
0,42,3,1,6,-6,5,-1,-1,0,0,2841,0.2,858,9,-23
0,-3,0,-1,2,-2,5,0,0,0,0,449,-0.2,-260,37,-9
0,-27,2,1,-1,1,1,-1,-1,0,0,-1759,-0.4,-2019,-21,-21
0,-5,5,-1,-2,2,-1,-1,-1,0,0,-1257,-0.2,333,-37,24
0,-4,-2,-1,-5,5,-5,-1,0,-1,0,-1824,-0.2,-613,35,-7
0,-10,5,-1,1,-1,-1,-1,-1,0,0,-843,0.2,147,-26,-4
0,-2,3,1,-4,4,-8,1,1,0,0,-2618,-0.6,-1567,-38,-5
0,-1,0,1,0,0,4,1,1,0,0,253,0,-453,12,-8
0,15,1,-1,3,-3,6,0,0,0,0,1229,0.4,1913,11,24
0,-6,2,-1,-2,2,-3,1,1,0,0,-938,-0.2,-1180,6,-37
0,28,3,-1,3,-3,2,-1,0,-1,-1,-487,0.4,764,0,-18
0,-1,-1,-1,-4,4,-6,-1,-1,0,0,-1431,0.2,-648,-29,9
1,-9,4,1,7,-7,7,1,1,0,0,4498,1.2,4087,45,28
1,-8,-3,-1,-6,6,-9,1,1,0,0,-3574,-1,-3171,-14,-24
1,3,0,1,3,-3,2,2,1,1,0,693,0,-204,26,-7
1,-8,-1,-1,-1,1,1,-1,-1,0,0,-915,0,3,-11,-14
0,2,1,-1,3,-3,3,-2,-1,-1,0,1847,0.4,1663,12,-1
1,-1,-2,1,6,-6,6,0,0,0,0,2978,-0.4,-438,56,-26
1,3,-2,-1,1,-1,1,0,0,0,0,1245,0,1084,15,-4
0,1,-2,-1,-2,2,-6,0,1,-1,-1,-1632,0.2,562,34,22
1,0,3,1,6,-6,1,1,1,0,3,8657,2.4,7609,127,25
1,0,-2,1,3,-3,7,-1,-1,0,0,2197,-0.4,233,-18,24
0,-12,-1,-1,-13,13,-10,0,0,0,-1,-9152,-2,-8290,-117,-38
0,-33,-2,-1,3,-3,0,-1,-1,0,0,687,0,-291,7,-34
1,1,1,-1,-2,2,-1,-1,-1,0,0,220,-0.4,-740,22,-20
1,-3,0,1,-1,1,0,0,0,0,0,-96,-0.2,-1063,-15,16
